Metro,lat,lng
Іподром,50.37667399999999,30.4689869
Академмістечко,50.464936,30.355272
Арсенальна,50.4444465,30.5454041
Берестейська,50.459002,30.4196497
Бориспільська,50.403375,30.684195
Васильківська,50.393251,30.48767
Видубичі,50.4019242,30.5590334
Вирлиця,50.40312,30.666891
Виставковий центр,50.3824018,30.4776764
Вокзальна,50.4417316,30.4881542
Героїв Дніпра,50.52273899999999,30.498971
Голосіївська,50.39746,30.508361
Гідропарк,50.445978,30.576884
Дарниця,50.4556163,30.6117941
Деміївська,50.4051102,30.517419
Дніпро,50.441228,30.55933689999999
Дорогожичі,50.4736756,30.449081
Дружби народів,50.4179808,30.5449696
Житомирська,50.4560859,30.3648528
Золоті ворота,50.4482291,30.5138327
Кловська,50.435902,30.533423
Контрактова площа,50.46605,30.514996
Либідська,50.4133524,30.5242655
Лук'янівська,50.4624207,30.4817867
Лівобережна,50.451877,30.598167
Лісова,50.465612,30.644559
Майдан Незалежності,50.44993359999999,30.5238713
Мінська,50.51224200000001,30.498551
Нивки,50.4584859,30.4030914
Оболонь,50.501466,30.49822799999999
Олімпійська,50.4322697,30.51612489999999
Осокорки,50.3952395,30.6156169
"Палац ""Україна""",50.421186,30.520611
Палац Спорту,50.4382072,30.5209278
Петрівка,50.4853152,30.4983392
Печерська,50.42735949999999,30.5388649
Площа Льва Толстого,50.4400665,30.5180103
Позняки,50.397944,30.6345791
Політехнічний інститут,50.45079699999999,30.4662924
Поштова площа,50.4589633,30.5247585
Святошин,50.4578445,30.3892947
Сирець,50.4763773,30.4308978
Славутич,50.394264,30.604859
Тараса Шевченка,50.4736497,30.50473109999999
Театральна,50.4452359,30.5180487
Теремки,50.3671714,30.4544127
Університет,50.44423519999999,30.5058879
Харківська,50.40073,30.652474
Хрещатик,50.4473932,30.526286
Червоний хутір,50.409473,30.696203
Чернігівська,50.459892,30.630292
Шулявська,50.4549603,30.4453936
